"system","mode","io","ex","threads","valbytes","family","ratio","pipeline","driver","status","ops_per_sec","avg_lat_ms","p50","p99","ipreq","ipc","converge_time_s","stable_throughput","cell_id","reason"
"dragonfly","NA","NA","NA","8","32","mget_mset","1:0","1","memtier","PARTIAL","497731.7532","0.401","NA","NA","60934.71458","0.7525279157","NA","NA","cell-000001","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=mget_mset ratio=1:0; op_latency_json is partial"
"dragonfly","NA","NA","NA","8","32","mget_mset","0:1","1","memtier","PARTIAL","443820.5161","0.450","NA","NA","72447.51881","0.7997507221","NA","NA","cell-000002","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=mget_mset ratio=0:1; op_latency_json is partial"
"dragonfly","NA","NA","NA","8","32","mget_mset","9:1","1","memtier","PARTIAL","484653.4773","0.412","NA","NA","62244.62198","0.7482492165","NA","NA","cell-000003","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=mget_mset ratio=9:1; op_latency_json is partial"
"dragonfly","NA","NA","NA","8","32","mget_mset","1:1","1","memtier","PARTIAL","456121.0344","0.438","NA","NA","66727.95063","0.7560678632","NA","NA","cell-000004","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=mget_mset ratio=1:1; op_latency_json is partial"
"dragonfly","NA","NA","NA","8","32","mget_mset","1:0","32","memtier","PARTIAL","811690.0512","7.873","NA","NA","42698.06917","0.8491912346","NA","NA","cell-000005","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=mget_mset ratio=1:0; op_latency_json is partial"
"dragonfly","NA","NA","NA","8","32","mget_mset","0:1","32","memtier","PARTIAL","635598.727","10.060","NA","NA","53150.07546","0.9117743293","NA","NA","cell-000006","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=mget_mset ratio=0:1; op_latency_json is partial"
"dragonfly","NA","NA","NA","8","32","mget_mset","9:1","32","memtier","PARTIAL","780475.0346","8.187","NA","NA","43528.77412","0.8347186276","NA","NA","cell-000007","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=mget_mset ratio=9:1; op_latency_json is partial"
"dragonfly","NA","NA","NA","8","32","mget_mset","1:1","32","memtier","PARTIAL","681472.5597","9.377","NA","NA","48286.56464","0.8412212352","NA","NA","cell-000008","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=mget_mset ratio=1:1; op_latency_json is partial"
