"system","mode","io","ex","threads","valbytes","family","ratio","pipeline","driver","status","ops_per_sec","avg_lat_ms","p50","p99","ipreq","ipc","converge_time_s","stable_throughput","cell_id","reason"
"tomokv","auto","4","4","8","32","mget_mset","1:0","1","memtier","PARTIAL","548946.9563","0.363","NA","NA","51442.91744","0.7151310138","70.706364763","559774.424317","cell-000001","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=mget_mset ratio=1:0; op_latency_json is partial"
"tomokv","auto","4","4","8","32","mget_mset","0:1","1","memtier","PARTIAL","537098.9561","0.372","NA","NA","62819.81142","0.8501486925","10.220348828","540759.675837","cell-000002","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=mget_mset ratio=0:1; op_latency_json is partial"
"tomokv","auto","4","4","8","32","mget_mset","9:1","1","memtier","PARTIAL","529291.6754","0.377","NA","NA","52736.58273","0.720342753","NA","NA","cell-000003","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=mget_mset ratio=9:1; op_latency_json is partial; controller_status=PARTIAL; trajectory evidence is incomplete"
"tomokv","auto","4","4","8","32","mget_mset","1:1","1","memtier","PARTIAL","545986.3235","0.365","NA","NA","56796.45693","0.7805869502","NA","NA","cell-000004","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=mget_mset ratio=1:1; op_latency_json is partial; controller_status=PARTIAL; trajectory evidence is incomplete"
"tomokv","auto","4","4","8","32","mget_mset","1:0","32","memtier","PARTIAL","708812.2981","9.020","NA","NA","38033.9743","0.680619113","29.708897215","718371.209670","cell-000005","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=mget_mset ratio=1:0; op_latency_json is partial"
"tomokv","auto","4","4","8","32","mget_mset","0:1","32","memtier","PARTIAL","560006.1754","11.424","NA","NA","55898.69323","0.8474435409","NA","NA","cell-000006","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=mget_mset ratio=0:1; op_latency_json is partial; controller_status=PARTIAL; trajectory evidence is incomplete"
"tomokv","auto","4","4","8","32","mget_mset","9:1","32","memtier","PARTIAL","689716.9935","9.269","NA","NA","39139.06003","0.6867640648","NA","NA","cell-000007","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=mget_mset ratio=9:1; op_latency_json is partial; controller_status=PARTIAL; trajectory evidence is incomplete"
"tomokv","auto","4","4","8","32","mget_mset","1:1","32","memtier","PARTIAL","668958.8193","9.558","NA","NA","44308.07367","0.7533671637","15.288495896","677795.014039","cell-000008","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=mget_mset ratio=1:1; op_latency_json is partial"
