"system","mode","io","ex","threads","valbytes","family","ratio","pipeline","driver","status","ops_per_sec","avg_lat_ms","p50","p99","ipreq","ipc","converge_time_s","stable_throughput","cell_id","reason"
"tomokv","static","1","7","8","32","get_set","1:0","1","memtier","PARTIAL","176844.1277","1.130","NA","NA","142714.3842","0.6097518717","NA","NA","cell-000001","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=get_set ratio=1:0; op_latency_json is partial"
"tomokv","static","1","7","8","32","get_set","0:1","1","memtier","PARTIAL","172857.5951","1.157","NA","NA","146057.3952","0.6099435289","NA","NA","cell-000002","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=get_set ratio=0:1; op_latency_json is partial"
"tomokv","static","1","7","8","32","get_set","1:0","32","memtier","PARTIAL","2405144.789","2.655","NA","NA","13447.76514","0.7889547315","NA","NA","cell-000003","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=get_set ratio=1:0; op_latency_json is partial"
"tomokv","static","1","7","8","32","get_set","0:1","32","memtier","PARTIAL","2187821.448","2.920","NA","NA","15275.39415","0.8154557947","NA","NA","cell-000004","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=get_set ratio=0:1; op_latency_json is partial"
