"system","mode","io","ex","threads","valbytes","family","ratio","pipeline","driver","status","ops_per_sec","avg_lat_ms","p50","p99","ipreq","ipc","converge_time_s","stable_throughput","cell_id","reason"
"redis","NA","NA","NA","1","32","get_set","1:1","1","memtier","PARTIAL","169365.8949","1.181","NA","NA","26025.09028","0.8288909511","NA","NA","cell-000011","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=get_set ratio=1:1; op_latency_json is partial"
"redis","NA","NA","NA","1","32","get_set","1:0","32","memtier","PARTIAL","1899444.851","3.364","NA","NA","4929.677033","1.772955455","NA","NA","cell-000014","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=get_set ratio=1:0; op_latency_json is partial"
"redis","NA","NA","NA","1","32","get_set","0:1","32","memtier","PARTIAL","1369919.735","4.667","NA","NA","6737.226685","1.739578127","NA","NA","cell-000017","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=get_set ratio=0:1; op_latency_json is partial"
"redis","NA","NA","NA","1","32","get_set","9:1","32","memtier","PARTIAL","1760591.67","3.630","NA","NA","5174.524168","1.723122783","NA","NA","cell-000020","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=get_set ratio=9:1; op_latency_json is partial"
"redis","NA","NA","NA","1","32","get_set","1:1","32","memtier","PARTIAL","1516794.023","4.214","NA","NA","6156.478028","1.763208469","NA","NA","cell-000023","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=get_set ratio=1:1; op_latency_json is partial"
"dragonfly","NA","NA","NA","8","32","get_set","1:0","1","memtier","PARTIAL","744733.6824","0.268","NA","NA","32223.37494","0.6947121086","NA","NA","cell-000003","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=get_set ratio=1:0; op_latency_json is partial"
"dragonfly","NA","NA","NA","8","32","get_set","0:1","1","memtier","PARTIAL","744581.1238","0.268","NA","NA","33450.12084","0.7062837438","NA","NA","cell-000006","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=get_set ratio=0:1; op_latency_json is partial"
"dragonfly","NA","NA","NA","8","32","get_set","9:1","1","memtier","PARTIAL","745525.1066","0.268","NA","NA","32325.15964","0.6963569199","NA","NA","cell-000009","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=get_set ratio=9:1; op_latency_json is partial"
"dragonfly","NA","NA","NA","8","32","get_set","1:1","1","memtier","PARTIAL","751194.0414","0.266","NA","NA","32755.91974","0.699004463","NA","NA","cell-000012","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=get_set ratio=1:1; op_latency_json is partial"
"dragonfly","NA","NA","NA","8","32","get_set","1:0","32","memtier","PARTIAL","4468020.897","1.426","NA","NA","10561.41316","1.16506132","NA","NA","cell-000015","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=get_set ratio=1:0; op_latency_json is partial"
"dragonfly","NA","NA","NA","8","32","get_set","0:1","32","memtier","PARTIAL","3867629.402","1.649","NA","NA","11813.57259","1.147076283","NA","NA","cell-000018","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=get_set ratio=0:1; op_latency_json is partial"
"dragonfly","NA","NA","NA","8","32","get_set","9:1","32","memtier","PARTIAL","4344508.764","1.467","NA","NA","10708.21243","1.148149399","NA","NA","cell-000021","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=get_set ratio=9:1; op_latency_json is partial"
"dragonfly","NA","NA","NA","8","32","get_set","1:1","32","memtier","PARTIAL","4150234.272","1.536","NA","NA","11213.71888","1.147784261","NA","NA","cell-000024","perf_status=PARTIAL; unsupported or incomplete counters are NA; driver latency telemetry is incomplete; affected columns are NA; memtier percentile telemetry is incomplete; p50/p99/p999 affected fields are NA; memtier per-operation auxiliary telemetry contains null fields; memtier per-operation telemetry does not exactly prove family=get_set ratio=1:1; op_latency_json is partial"
