== io5_def ==
totals_ops_sec 4959516.71
used_memory:10952591720
used_memory_rss:11048853504
110000000
rss_samples:
2838679	14176
2838684	1696652
2838689	3411644
2838694	4828300
2838699	6800996
2838704	8657308
2838709	9506896
2838714	10431892
2838719	11836156
2838724	10790620
2838729	10790736
2838734	10790828
2838739	10790716
2838744	10790716
2838749	10790588
2838754	10790608
2838759	10790580
2838764	10790588
2838769	10790568
2838774	10790616
2838779	10790588
2838784	10790588
2838789	10790488
2838794	10790504
2838799	10790380
2838804	10790392
2838809	10790384
2838814	10790412
2838819	10790400
2838824	10790420
2838829	10790404
2838834	10790404
2838839	10790324
2838844	10790344
2838849	10790420
2838854	10790444
2838859	10790376
2838864	10790380
2838869	10790380
2838874	10790428
2838879	10790372
2838884	10790392
2838889	10790420
2838894	10790484
2838899	10790472
2838904	10790488
2838909	10790908
2838914	10791008
2838919	10790756
2838924	10790776
2838929	10790756
2838934	10790760
2838939	10790732
2838944	10790732
2838949	10790716
2838954	10790728
2838959	10790692
2838964	10790692
2838969	10790720
2838974	10790720
2838979	10790648
2838984	10790648
2838989	10790504
2838994	10790552
2838999	10790492
2839004	10790500
2839009	10790488
2839014	10790488
2839019	10790512
2839024	10790512
2839029	10790488
2839034	10790508
2839039	10790492
2839044	10790492
