== io4_def ==
totals_ops_sec 6175870.39
used_memory:10952847824
used_memory_rss:11048439808
110000000
rss_samples:
2839052	14096
2839057	1771808
2839062	3489936
2839067	4868044
2839072	6929652
2839077	8732016
2839082	9679248
2839087	10666484
2839092	10790628
2839097	10791028
2839102	10790828
2839107	10790884
2839112	10791512
2839117	10791672
2839122	10791484
2839127	10791484
2839132	10791128
2839137	10791128
2839142	10791044
2839147	10791044
2839152	10790672
2839157	10790672
2839162	10790620
2839167	10790620
2839172	10790436
2839177	10790436
2839182	10790460
2839187	10790552
2839192	10790356
2839197	10790936
2839202	10791028
2839207	10791028
2839212	10790596
2839217	10790604
2839222	10790616
2839227	10790620
2839232	10790584
2839237	10790620
2839242	10790456
2839247	10790500
2839252	10790236
2839257	10790300
2839262	10790280
2839267	10790280
2839272	10790284
2839277	10790284
2839282	10790216
2839287	10790316
2839292	10790320
2839297	10790324
2839302	10790224
2839307	10790552
2839312	10790868
2839317	10790872
2839322	10790432
2839327	10790440
2839332	10790348
2839337	10790348
2839342	10790232
2839347	10790232
2839352	10790268
2839357	10790316
2839362	10790188
2839367	10790240
2839372	10790108
2839377	10790180
2839382	10790248
2839387	10790248
2839392	10790176
2839397	10790180
2839402	10790128
2839407	10790168
2839412	10790120
2839417	10790160
