== io4_dec0 ==
totals_ops_sec 5892052.75
used_memory:10952847824
used_memory_rss:11037958144
110000000
rss_samples:
2839798	14244
2839803	1629808
2839808	3181460
2839813	4712940
2839818	6333936
2839823	8890568
2839828	9356360
2839833	10292344
2839838	11826612
2839843	10787584
2839848	10787564
2839853	10787740
2839858	10787760
2839863	10787612
2839868	10787792
2839873	10787732
2839878	10787664
2839883	10787748
2839888	10787712
2839893	10787900
2839898	10787808
2839903	10787728
2839908	10787800
2839913	10787812
2839918	10787752
2839923	10787876
2839928	10787964
2839933	10787968
2839938	10787720
2839943	10787784
2839948	10787824
2839953	10788048
2839958	10788032
2839963	10787804
2839968	10787824
2839973	10787788
2839978	10787976
2839983	10787968
2839988	10787908
2839993	10787812
2839998	10787764
2840003	10787804
2840008	10787924
2840013	10787944
2840018	10788032
2840023	10787896
2840028	10787832
2840033	10787940
2840038	10788100
2840043	10788028
2840048	10788184
2840053	10787964
2840058	10788068
2840063	10787936
2840068	10788120
2840073	10788108
2840078	10787916
2840083	10788072
2840088	10788168
2840093	10788132
2840098	10788312
2840103	10788240
2840108	10788080
2840113	10788048
2840118	10788244
2840123	10787968
2840128	10787828
2840133	10788216
2840138	10788088
2840143	10788156
2840148	10788072
2840153	10788080
2840158	10788128
2840163	10787936
