P0,1,get_hit,16,32,1000000,3000000,2014297064 3197901626 1766840,6038884372 9617380612 1751163
P0,1,get_hit,24,32,1000000,3000000,2031369580 3227424610 1725442,6092456418 9683203705 1720150
P0,1,get_hit,40,32,1000000,3000000,2068244585 3267558194 1654825,6203925580 9803128591 1645796
P0,1,get_miss,16,32,1000000,3000000,2873296075 4033998877 1599722,8619119245 12105301933 1600619
P0,1,get_miss,24,32,1000000,3000000,2891521557 4063859912 1573129,8673692906 12180476888 1573892
P0,1,get_miss,40,32,1000000,3000000,2920594188 4087978775 1529207,8761313417 12246885802 1527661
P0,1,set_over,16,32,1000000,3000000,3168069616 4383276825 1484941,9505079763 13146075594 1484265
P0,1,set_over,24,32,1000000,3000000,3189356671 4398020903 1461803,9568578289 13190865038 1454945
P0,1,set_over,40,32,1000000,3000000,3230961280 4443515115 1391260,9692267363 13335299059 1392725
P0,1,mixed11,16,32,1000000,3000000,3534721247 4751258706 1423656,10603441463 14232842815 1421459
P0,1,mixed11,24,32,1000000,3000000,3556068611 4767546982 1402204,10668136176 14301576974 1366261
P0,1,mixed11,40,32,1000000,3000000,3598288399 4807401414 1357222,10794083553 14424324694 1354992
P0,1,mixed11x,16,32,1000000,3000000,2771135808 3986223446 1545696,8313608999 11955638672 1541018
P0,1,mixed11x,24,32,1000000,3000000,2791737255 4004893884 1519517,8374858344 11996403594 1515780
P0,1,mixed11x,40,32,1000000,3000000,2829941172 4037581346 1459843,8490588381 12113061022 1460064
P0,1,mixed11x_p8,16,8,1000000,3000000,3846811819 8564723115 646750,11541514718 25694385814 638679
C,1,get_hit,16,32,1000000,3000000,1953217982 3182316186 1775608,5855512373 9543086633 1774835
C,1,get_hit,24,32,1000000,3000000,1970043690 3199465009 1743368,5909504397 9599090962 1735112
C,1,get_hit,40,32,1000000,3000000,2007584816 3237117391 1667994,6021001601 9626062247 1684114
C,1,get_miss,16,32,1000000,3000000,2814281025 4016155354 1613606,8443448145 12046118741 1617597
C,1,get_miss,24,32,1000000,3000000,2829299162 4030022952 1578374,8487483204 12092626634 1596978
C,1,get_miss,40,32,1000000,3000000,2860109473 4061873780 1545334,8579681702 12186135930 1543145
C,1,set_over,16,32,1000000,3000000,3154307301 4402821232 1477874,9463965334 13208229749 1473168
C,1,set_over,24,32,1000000,3000000,3175940073 4424779996 1448923,9527068148 13271537422 1447222
C,1,set_over,40,32,1000000,3000000,3217473499 4461934522 1389682,9651607236 13315903503 1393853
C,1,mixed11,16,32,1000000,3000000,3514634688 4744648916 1424659,10543763501 14189406527 1420089
C,1,mixed11,24,32,1000000,3000000,3535870866 4755690300 1399739,10607041861 14278546133 1399001
C,1,mixed11,40,32,1000000,3000000,3578791175 4808746539 1355692,10735342405 14372467725 1358847
C,1,mixed11x,16,32,1000000,3000000,2751319059 3963708426 1554953,8253355262 11905306005 1551262
C,1,mixed11x,24,32,1000000,3000000,2771016854 3981570240 1525856,8314011763 11955690675 1514574
C,1,mixed11x,40,32,1000000,3000000,2810410867 4022595341 1472093,8430161430 12074045665 1469377
C,1,mixed11x_p8,16,8,1000000,3000000,3824176645 8541200500 646022,11471285775 25649086223 644686
C,1,get_hit,16,32,1000000,3000000,1953063431 3153733163 1784937,5855700739 9475357676 1780048
C,1,get_hit,24,32,1000000,3000000,1970048369 3171203950 1749898,5909397675 9504099085 1757002
C,1,get_hit,40,32,1000000,3000000,2009279265 3212149565 1679833,6026960712 9638608044 1683286
C,1,get_miss,16,32,1000000,3000000,2822091399 3981263462 1623616,8466415629 11939728386 1620089
C,1,get_miss,24,32,1000000,3000000,2842660445 4007051166 1587531,8527472351 12009911156 1590273
C,1,get_miss,40,32,1000000,3000000,2869691410 4029570066 1548207,8608518682 12099276766 1551451
C,1,set_over,16,32,1000000,3000000,3154457395 4359837134 1484246,9464190347 13089317895 1477058
C,1,set_over,24,32,1000000,3000000,3175544536 4386347012 1454272,9526103434 13155999782 1451389
C,1,set_over,40,32,1000000,3000000,3221018306 4434901885 1391989,9662570596 13312496196 1389974
C,1,mixed11,16,32,1000000,3000000,3514940807 4730147075 1431519,10544431423 14214154123 1437193
C,1,mixed11,24,32,1000000,3000000,3535514056 4758469141 1408912,10606251609 14234029672 1410612
C,1,mixed11,40,32,1000000,3000000,3582019296 4795519020 1366314,10745316708 14386202053 1369656
C,1,mixed11x,16,32,1000000,3000000,2751146782 3980311327 1567465,8252690673 11917204768 1556156
C,1,mixed11x,24,32,1000000,3000000,2771274048 3982216744 1530335,8313486883 11974955233 1524482
C,1,mixed11x,40,32,1000000,3000000,2812902740 4037026271 1470716,8438342564 12095892734 1474820
C,1,mixed11x_p8,16,8,1000000,3000000,3824636794 8558452523 652285,11473824639 25734622584 647279
P0,1,get_hit,16,32,1000000,3000000,2014351512 3212901323 1749768,6039127624 9629825848 1751267
P0,1,get_hit,24,32,1000000,3000000,2031928378 3231821624 1723821,6094791511 9708951041 1714858
