phase	rep	threads	alloc	system	dbsize	val	ratio	ops	crash
A	1	6	jem	3s_epoll	dram	16	1:9	0	0
A	1	6	jem	3s_epoll	dram	16	1:1	0	0
A	1	6	jem	3s_epoll	dram	16	1:0	0	0
A	1	6	jem	3s_epoll	dram	64	1:9	0	0
A	1	6	jem	3s_epoll	dram	64	1:1	0	0
A	1	6	jem	3s_epoll	dram	64	1:0	0	0
A	1	6	jem	3s_epoll	dram	256	1:9	0	0
A	1	6	jem	3s_epoll	dram	256	1:1	0	0
A	1	6	jem	3s_epoll	dram	256	1:0	0	0
A	1	6	jem	3s_epoll	dram	1024	1:9	0	0
A	1	6	jem	3s_epoll	dram	1024	1:1	0	0
A	1	6	jem	3s_epoll	dram	1024	1:0	0	0
A	1	6	jem	3s_epoll	dram	4096	1:9	0	0
A	1	6	jem	3s_epoll	dram	4096	1:1	0	0
A	1	6	jem	3s_epoll	dram	4096	1:0	0	0
A	1	6	jem	3s_epoll	dram	16384	1:9	0	0
A	1	6	jem	3s_epoll	dram	16384	1:1	0	0
A	1	6	jem	3s_epoll	dram	16384	1:0	0	0
A	1	6	jem	3s_uring	cache	16	1:9	4838252	0
A	1	6	jem	3s_uring	cache	16	1:1	3971562	0
A	1	6	jem	3s_uring	cache	16	1:0	3971194	0
A	1	6	jem	3s_uring	cache	64	1:9	3984859	0
A	1	6	jem	3s_uring	cache	64	1:1	3844206	0
A	1	6	jem	3s_uring	cache	64	1:0	3529753	0
A	1	6	jem	3s_uring	cache	256	1:9	3832894	0
A	1	6	jem	3s_uring	cache	256	1:1	3450170	0
A	1	6	jem	3s_uring	cache	256	1:0	3384410	0
A	1	6	jem	3s_uring	cache	1024	1:9	1832993	0
A	1	6	jem	3s_uring	cache	1024	1:1	2358834	0
A	1	6	jem	3s_uring	cache	1024	1:0	2453094	0
A	1	6	jem	3s_uring	cache	4096	1:9	0	0
A	1	6	jem	3s_uring	cache	4096	1:1	0	0
A	1	6	jem	3s_uring	cache	4096	1:0	0	0
A	1	6	jem	3s_uring	cache	16384	1:9	0	0
A	1	6	jem	3s_uring	cache	16384	1:1	0	0
A	1	6	jem	3s_uring	cache	16384	1:0	0	0
A	1	6	jem	3s_uring	dram	16	1:9	0	0
A	1	6	jem	3s_uring	dram	16	1:1	0	0
A	1	6	jem	3s_uring	dram	16	1:0	0	0
A	1	6	jem	3s_uring	dram	64	1:9	0	0
A	1	6	jem	3s_uring	dram	64	1:1	0	0
A	1	6	jem	3s_uring	dram	64	1:0	0	0
A	1	6	jem	3s_uring	dram	256	1:9	0	0
A	1	6	jem	3s_uring	dram	256	1:1	0	0
A	1	6	jem	3s_uring	dram	256	1:0	0	0
A	1	6	jem	3s_uring	dram	1024	1:9	0	0
A	1	6	jem	3s_uring	dram	1024	1:1	0	0
A	1	6	jem	3s_uring	dram	1024	1:0	0	0
A	1	6	jem	3s_uring	dram	4096	1:9	0	0
A	1	6	jem	3s_uring	dram	4096	1:1	0	0
A	1	6	jem	3s_uring	dram	4096	1:0	0	0
