io5ex3	GET32	2	8118746.31
io5ex3	MIX32	2	5705170.65
io5ex3	d512_19	2	3078050.81
io5ex3	d512_11	2	2968759.80
io5ex3	hot	2	3098032.78
io5ex3	fb	2	3078153.42
io5ex3	d4k_19	2	1263220.10
io5ex3	bitcount16k	2	3896696.86
io5ex3	hgetall	2	464964.97
io5ex3	zrange	2	829870.87
io5ex3	GET32	3	7562524.68
io5ex3	MIX32	3	5773101.25
io5ex3	d512_19	3	3083752.86
io5ex3	d512_11	3	3003389.11
io5ex3	hot	3	3057210.53
io5ex3	fb	3	3072454.48
io5ex3	d4k_19	3	1267647.89
io5ex3	bitcount16k	3	3833908.21
io5ex3	hgetall	3	469200.54
io5ex3	zrange	3	823209.17
io3ex5	GET32	1	6042431.53
io3ex5	MIX32	1	5678243.57
io3ex5	d512_19	1	1989053.95
io3ex5	d512_11	1	1956667.77
io3ex5	hot	1	1964649.16
io3ex5	fb	1	1956751.47
io3ex5	d4k_19	1	1032524.97
io3ex5	bitcount16k	1	2524342.60
io3ex5	hgetall	1	483082.14
io3ex5	zrange	1	858790.44
io3ex5	GET32	2	5996796.61
io3ex5	MIX32	2	5613342.94
io3ex5	d512_19	2	1962985.15
io3ex5	d512_11	2	1922265.30
io3ex5	hot	2	1961065.90
io3ex5	fb	2	1945690.85
io3ex5	d4k_19	2	1045441.01
io3ex5	bitcount16k	2	2569442.86
io3ex5	hgetall	2	484586.13
io3ex5	zrange	2	882033.05
io3ex5	GET32	3	6062577.66
io3ex5	MIX32	3	5585950.74
io3ex5	d512_19	3	1952666.05
io3ex5	d512_11	3	1934866.00
io3ex5	hot	3	1955965.25
io3ex5	fb	3	1944577.99
io3ex5	d4k_19	3	1046141.85
io3ex5	bitcount16k	3	2544848.37
io3ex5	hgetall	3	487331.99
io3ex5	zrange	3	879239.44
