pass	system	payload	pipe	ratio	ops	p50ms	p99ms	crash
2	ts-canon-i4w4r0	64	16	1:9	3688261	0.66300	6.30300	0
2	ts-canon-i4w4r0	128	16	1:9	3186463	0.60700	5.34300	0
2	ts-canon-i4w4r0	256	16	1:9	2944455	0.68700	6.36700	0
2	ts-canon-i4w4r0	512	16	1:9	2614762	0.95100	4.51100	0
2	ts-canon-i4w4r0	1024	16	1:9	1954187	1.45500	5.02300	0
2	ts-canon-i4w4r0	64	1	1:9	515854	0.24700	3.19900	0
2	ts-canon-i4w4r0	256	1	1:9	500592	0.25500	3.03900	0
2	ts-canon-i4w4r0	1024	1	1:9	539959	0.20700	3.27900	0
2	ts-canon-i4w4r0	64	16	1:1	3220212	0.54300	6.11100	0
2	ts-canon-i4w4r0	512	16	1:1	2239424	1.06300	5.18300	0
2	redis	64	16	1:9	4490470	0.67900	1.39100	0
2	redis	128	16	1:9	3938733	0.81500	1.07900	0
2	redis	256	16	1:9	4038304	0.75900	1.64700	0
2	redis	512	16	1:9	3304485	0.85500	1.59100	0
2	redis	1024	16	1:9	2245011	1.43900	2.09500	0
2	redis	64	1	1:9	590036	0.31900	0.59900	0
2	redis	256	1	1:9	596499	0.31100	0.55900	0
2	redis	1024	1	1:9	639345	0.27900	0.56700	0
2	redis	64	16	1:1	3659358	0.87900	1.16700	0
2	redis	512	16	1:1	3126649	0.91900	1.79900	0
2	dragonfly	64	16	1:9	4771831	0.55100	1.59100	0
2	dragonfly	128	16	1:9	3650945	0.74300	1.87900	0
2	dragonfly	256	16	1:9	1769567	1.70300	3.00700	0
2	dragonfly	512	16	1:9	1831776	1.42300	3.00700	0
2	dragonfly	1024	16	1:9	1537078	1.83100	3.74300	0
2	dragonfly	64	1	1:9	560261	0.31900	0.65500	0
2	dragonfly	256	1	1:9	609838	0.29500	0.61500	0
2	dragonfly	1024	1	1:9	630829	0.27900	0.59100	0
2	dragonfly	64	16	1:1	4017083	0.67900	1.74300	0
2	dragonfly	512	16	1:1	1922243	1.55100	2.86300	0
2	v11-epoll	64	16	1:9	5340694	0.56700	1.68700	0
2	v11-epoll	128	16	1:9	4584229	0.65500	1.37500	0
2	v11-epoll	256	16	1:9	3972530	0.81500	1.34300	0
2	v11-epoll	512	16	1:9	3212060	0.99100	1.56700	0
2	v11-epoll	1024	16	1:9	2272511	1.47900	1.97500	0
2	v11-epoll	64	1	1:9	644246	0.28700	0.48700	0
2	v11-epoll	256	1	1:9	652909	0.27900	0.47900	0
