round	fork	config	cell	ops	note
1	2s	2s_loo_nomcdb	HOT_G256	1583290.16	
1	2s	2s_loo_nomcdb	FB_ETC	1570503.72	
1	2s	2s_loo_nonextop	GET_d32_P32	7461754.60	
1	2s	2s_loo_nonextop	GET_d256_P32	2790504.87	
1	2s	2s_loo_nonextop	SET_d256_P32	5251009.06	
1	2s	2s_loo_nonextop	GET_d1024_P32	2344200.97	
1	2s	2s_loo_nonextop	MIX_d64_P16	5314774.22	
1	2s	2s_loo_nonextop	HOT_G256	1600046.93	
1	2s	2s_loo_nonextop	FB_ETC	1580613.62	
1	2s	2s_loo_nouring	GET_d32_P32	7893913.16	
1	2s	2s_loo_nouring	GET_d256_P32	3053284.22	
1	2s	2s_loo_nouring	SET_d256_P32	5324570.78	
1	2s	2s_loo_nouring	GET_d1024_P32	2395530.58	
1	2s	2s_loo_nouring	MIX_d64_P16	5733318.59	
1	2s	2s_loo_nouring	HOT_G256	1883713.97	
1	2s	2s_loo_nouring	FB_ETC	1791548.45	
1	2s	2s_val_nextop4	GET_d32_P32	8014039.11	
1	2s	2s_val_nextop4	GET_d256_P32	2803472.97	
1	2s	2s_val_nextop4	SET_d256_P32	5427006.19	
1	2s	2s_val_nextop4	GET_d1024_P32	2406666.10	
1	2s	2s_val_nextop4	MIX_d64_P16	5799010.24	
1	2s	2s_val_nextop4	HOT_G256	1690400.70	
1	2s	2s_val_nextop4	FB_ETC	1648749.12	
1	2s	2s_val_nextop16	GET_d32_P32	8043377.24	
1	2s	2s_val_nextop16	GET_d256_P32	2810802.45	
1	2s	2s_val_nextop16	SET_d256_P32	5514216.71	
1	2s	2s_val_nextop16	GET_d1024_P32	2361797.21	
1	2s	2s_val_nextop16	MIX_d64_P16	5827778.78	
1	2s	2s_val_nextop16	HOT_G256	1641450.81	
1	2s	2s_val_nextop16	FB_ETC	1614880.44	
1	2s	2s_val_nextop64	GET_d32_P32	8147999.45	
1	2s	2s_val_nextop64	GET_d256_P32	2931977.57	
1	2s	2s_val_nextop64	SET_d256_P32	5307371.60	
1	2s	2s_val_nextop64	GET_d1024_P32	2404976.95	
1	2s	2s_val_nextop64	MIX_d64_P16	5764421.86	
1	2s	2s_val_nextop64	HOT_G256	1669740.02	
1	2s	2s_val_nextop64	FB_ETC	1588917.51	
1	2s	2s_val_numcdb2	GET_d32_P32	7882604.05	
1	2s	2s_val_numcdb2	GET_d256_P32	2869194.85	
1	2s	2s_val_numcdb2	SET_d256_P32	5215411.52	
1	2s	2s_val_numcdb2	GET_d1024_P32	2381981.70	
1	2s	2s_val_numcdb2	MIX_d64_P16	5681915.84	
1	2s	2s_val_numcdb2	HOT_G256	1630069.27	
1	2s	2s_val_numcdb2	FB_ETC	1620158.14	
1	2s	2s_val_numcdb4	GET_d32_P32	7862461.08	
1	2s	2s_val_numcdb4	GET_d256_P32	2953652.67	
1	2s	2s_val_numcdb4	SET_d256_P32	5235202.25	
1	2s	2s_val_numcdb4	GET_d1024_P32	2365176.58	
1	2s	2s_val_numcdb4	MIX_d64_P16	5823189.65	
1	2s	2s_val_numcdb4	HOT_G256	1604031.18	
1	2s	2s_val_numcdb4	FB_ETC	1665012.26	
1	3s	3s_thr_i4e4w2	GET_d32_P32	4927601.61	
1	3s	3s_thr_i4e4w2	GET_d256_P32	4113042.58	
1	3s	3s_thr_i4e4w2	SET_d256_P32	4204734.86	
1	3s	3s_thr_i4e4w2	GET_d1024_P32	2804478.93	
1	3s	3s_thr_i4e4w2	MIX_d64_P16	4955151.74	
1	3s	3s_thr_i4e4w2	HOT_G256	2355053.84	
1	3s	3s_thr_i4e4w2	FB_ETC	2281885.17	
1	3s	3s_thr_i3e4w3	GET_d32_P32	4889884.83	
1	3s	3s_thr_i3e4w3	GET_d256_P32	4195071.91	
1	3s	3s_thr_i3e4w3	SET_d256_P32	4053036.59	
1	3s	3s_thr_i3e4w3	GET_d1024_P32	2901828.51	
1	3s	3s_thr_i3e4w3	MIX_d64_P16	4833898.49	
1	3s	3s_thr_i3e4w3	HOT_G256	2359561.54	
1	3s	3s_thr_i3e4w3	FB_ETC	2366141.69	
1	3s	3s_thr_i4e3w3	GET_d32_P32	6002629.13	
1	3s	3s_thr_i4e3w3	GET_d256_P32	4584903.95	
1	3s	3s_thr_i4e3w3	SET_d256_P32	4333629.29	
1	3s	3s_thr_i4e3w3	GET_d1024_P32	2962519.42	
1	3s	3s_thr_i4e3w3	MIX_d64_P16	5016714.14	
1	3s	3s_thr_i4e3w3	HOT_G256	3167522.19	
1	3s	3s_thr_i4e3w3	FB_ETC	3091960.15	
1	3s	3s_thr_i2e4w4	GET_d32_P32	0	
1	3s	3s_thr_i2e4w4	GET_d256_P32	0	
1	3s	3s_thr_i2e4w4	SET_d256_P32	0	
1	3s	3s_thr_i2e4w4	GET_d1024_P32	0	
1	3s	3s_thr_i2e4w4	MIX_d64_P16	0	
1	3s	3s_thr_i2e4w4	HOT_G256	0	
1	3s	3s_thr_i2e4w4	FB_ETC	0	
1	3s	3s_thr_i4e2w4	GET_d32_P32	5609542.33	
1	3s	3s_thr_i4e2w4	GET_d256_P32	4029457.90	
1	3s	3s_thr_i4e2w4	SET_d256_P32	3653956.12	
1	3s	3s_thr_i4e2w4	GET_d1024_P32	2876786.24	
1	3s	3s_thr_i4e2w4	MIX_d64_P16	4418872.95	
1	3s	3s_thr_i4e2w4	HOT_G256	3183448.38	
1	3s	3s_thr_i4e2w4	FB_ETC	3124549.00	
1	3s	3s_knob_tiered	GET_d32_P32	4949881.49	
1	3s	3s_knob_tiered	GET_d256_P32	4104420.96	
1	3s	3s_knob_tiered	SET_d256_P32	4171927.78	
1	3s	3s_knob_tiered	GET_d1024_P32	2869439.17	
1	3s	3s_knob_tiered	MIX_d64_P16	4828176.99	
1	3s	3s_knob_tiered	HOT_G256	2364736.91	
1	3s	3s_knob_tiered	FB_ETC	2295423.60	
1	3s	3s_knob_dirty	GET_d32_P32	4916160.17	
1	3s	3s_knob_dirty	GET_d256_P32	4079272.24	
1	3s	3s_knob_dirty	SET_d256_P32	4297054.61	
1	3s	3s_knob_dirty	GET_d1024_P32	2843410.01	
1	3s	3s_knob_dirty	MIX_d64_P16	4769342.48	
1	3s	3s_knob_dirty	HOT_G256	2382065.19	
1	3s	3s_knob_dirty	FB_ETC	2270064.46	
1	3s	3s_knob_mcdb	GET_d32_P32	4963878.78	
1	3s	3s_knob_mcdb	GET_d256_P32	4104627.05	
1	3s	3s_knob_mcdb	SET_d256_P32	4211813.30	
1	3s	3s_knob_mcdb	GET_d1024_P32	2785276.64	
1	3s	3s_knob_mcdb	MIX_d64_P16	4862263.51	
1	3s	3s_knob_mcdb	HOT_G256	2376343.66	
1	3s	3s_knob_mcdb	FB_ETC	2295608.79	
1	3s	3s_knob_nextop	GET_d32_P32	4936516.05	
1	3s	3s_knob_nextop	GET_d256_P32	4107111.70	
1	3s	3s_knob_nextop	SET_d256_P32	4191289.56	
1	3s	3s_knob_nextop	GET_d1024_P32	2822775.64	
1	3s	3s_knob_nextop	MIX_d64_P16	4823921.62	
1	3s	3s_knob_nextop	HOT_G256	2346279.38	
1	3s	3s_knob_nextop	FB_ETC	2339273.27	
1	3s	3s_knob_wbepoll	GET_d32_P32	4809306.22	
1	3s	3s_knob_wbepoll	GET_d256_P32	4018598.39	
1	3s	3s_knob_wbepoll	SET_d256_P32	4421208.66	
1	3s	3s_knob_wbepoll	GET_d1024_P32	2872920.79	
1	3s	3s_knob_wbepoll	MIX_d64_P16	5268144.48	
1	3s	3s_knob_wbepoll	HOT_G256	2372146.65	
1	3s	3s_knob_wbepoll	FB_ETC	2308323.02	
1	3s	3s_knob_allopt	GET_d32_P32	5007353.11	
1	3s	3s_knob_allopt	GET_d256_P32	4139921.15	
1	3s	3s_knob_allopt	SET_d256_P32	4143650.26	
1	3s	3s_knob_allopt	GET_d1024_P32	2818450.36	
1	3s	3s_knob_allopt	MIX_d64_P16	4890811.65	
1	3s	3s_knob_allopt	HOT_G256	2419293.94	
1	3s	3s_knob_allopt	FB_ETC	2368710.48	
1	3s	3s_allopt_full	GET_d32_P32	4893139.53	
1	3s	3s_allopt_full	GET_d256_P32	4127746.22	
1	3s	3s_allopt_full	SET_d256_P32	4183021.39	
1	3s	3s_allopt_full	GET_d1024_P32	2842145.26	
1	3s	3s_allopt_full	MIX_d64_P16	4820721.61	
1	3s	3s_allopt_full	HOT_G256	2379067.63	
1	3s	3s_allopt_full	FB_ETC	2314978.43	
1	3s	3s_loo_notiered	GET_d32_P32	4822075.17	
1	3s	3s_loo_notiered	GET_d256_P32	4026568.17	
1	3s	3s_loo_notiered	SET_d256_P32	4280538.53	
1	3s	3s_loo_notiered	GET_d1024_P32	2834582.56	
1	3s	3s_loo_notiered	MIX_d64_P16	4761397.33	
1	3s	3s_loo_notiered	HOT_G256	2395663.00	
1	3s	3s_loo_notiered	FB_ETC	2297972.59	
1	3s	3s_loo_nodirty	GET_d32_P32	4975217.06	
1	3s	3s_loo_nodirty	GET_d256_P32	4011462.61	
1	3s	3s_loo_nodirty	SET_d256_P32	4258653.48	
1	3s	3s_loo_nodirty	GET_d1024_P32	2813800.29	
1	3s	3s_loo_nodirty	MIX_d64_P16	4787222.85	
1	3s	3s_loo_nodirty	HOT_G256	2387279.86	
1	3s	3s_loo_nodirty	FB_ETC	2297968.08	
1	3s	3s_loo_nomcdb	GET_d32_P32	4882966.78	
1	3s	3s_loo_nomcdb	GET_d256_P32	4043971.86	
1	3s	3s_loo_nomcdb	SET_d256_P32	4287489.57	
1	3s	3s_loo_nomcdb	GET_d1024_P32	2730134.15	
1	3s	3s_loo_nomcdb	MIX_d64_P16	4810758.45	
1	3s	3s_loo_nomcdb	HOT_G256	2464129.22	
1	3s	3s_loo_nomcdb	FB_ETC	2365536.04	
1	3s	3s_loo_nonextop	GET_d32_P32	4946274.15	
1	3s	3s_loo_nonextop	GET_d256_P32	4041157.18	
1	3s	3s_loo_nonextop	SET_d256_P32	4172957.49	
1	3s	3s_loo_nonextop	GET_d1024_P32	2874541.19	
1	3s	3s_loo_nonextop	MIX_d64_P16	4987660.35	
1	3s	3s_loo_nonextop	HOT_G256	2370527.17	
1	3s	3s_loo_nonextop	FB_ETC	2302738.97	
1	3s	3s_val_nextop4	GET_d32_P32	5007978.06	
1	3s	3s_val_nextop4	GET_d256_P32	4007140.07	
1	3s	3s_val_nextop4	SET_d256_P32	4230270.75	
1	3s	3s_val_nextop4	GET_d1024_P32	2844700.80	
1	3s	3s_val_nextop4	MIX_d64_P16	4857288.41	
1	3s	3s_val_nextop4	HOT_G256	2367639.89	
1	3s	3s_val_nextop4	FB_ETC	2312387.08	
1	3s	3s_val_nextop16	GET_d32_P32	4868580.68	
1	3s	3s_val_nextop16	GET_d256_P32	4097584.92	
1	3s	3s_val_nextop16	SET_d256_P32	4291316.90	
1	3s	3s_val_nextop16	GET_d1024_P32	2791011.99	
1	3s	3s_val_nextop16	MIX_d64_P16	4955933.84	
1	3s	3s_val_nextop16	HOT_G256	2368866.81	
1	3s	3s_val_nextop16	FB_ETC	2367814.01	
1	3s	3s_val_nextop64	GET_d32_P32	4970314.97	
1	3s	3s_val_nextop64	GET_d256_P32	4075017.33	
1	3s	3s_val_nextop64	SET_d256_P32	4248752.85	
1	3s	3s_val_nextop64	GET_d1024_P32	2843249.14	
1	3s	3s_val_nextop64	MIX_d64_P16	4732000.98	
1	3s	3s_val_nextop64	HOT_G256	2364751.76	
1	3s	3s_val_nextop64	FB_ETC	2307352.94	
1	3s	3s_val_numcdb2	GET_d32_P32	4940178.85	
1	3s	3s_val_numcdb2	GET_d256_P32	4070313.76	
1	3s	3s_val_numcdb2	SET_d256_P32	4224722.96	
1	3s	3s_val_numcdb2	GET_d1024_P32	2814728.52	
1	3s	3s_val_numcdb2	MIX_d64_P16	4784285.92	
1	3s	3s_val_numcdb2	HOT_G256	2341265.80	
1	3s	3s_val_numcdb2	FB_ETC	2314383.65	
1	3s	3s_val_numcdb4	GET_d32_P32	4919432.87	
1	3s	3s_val_numcdb4	GET_d256_P32	4070209.39	
1	3s	3s_val_numcdb4	SET_d256_P32	4227160.40	
1	3s	3s_val_numcdb4	GET_d1024_P32	2914196.22	
1	3s	3s_val_numcdb4	MIX_d64_P16	4820581.60	
1	3s	3s_val_numcdb4	HOT_G256	2391968.87	
1	3s	3s_val_numcdb4	FB_ETC	2357313.11	
1	base	base_redis	GET_d32_P32	4464740.03	
1	base	base_redis	GET_d256_P32	4081944.73	
1	base	base_redis	SET_d256_P32	3516767.91	
1	base	base_redis	GET_d1024_P32	3308175.66	
1	base	base_redis	MIX_d64_P16	4035554.63	
1	base	base_redis	HOT_G256	3560374.04	
1	base	base_redis	FB_ETC	3276802.53	
1	base	base_keydb	GET_d32_P32	3386273.59	
1	base	base_keydb	GET_d256_P32	3437280.47	
1	base	base_keydb	SET_d256_P32	2035529.43	
