rep,pre_instr_per_op,pre_ops,pre_ops_s,post_instr_per_op,post_ops,post_ops_s
1,5992.2,7530001,749985,6057.7,7530001,750028
2,6055.2,7530001,749970,6064.0,7530001,750042
3,6010.0,7530001,749995,6285.7,7530001,750023
4,6272.5,7530001,749814,6006.6,7530001,749991
5,6006.3,7530001,750001,6024.7,7530001,750001
6,6035.0,7530001,749999,6105.6,7530001,750084
