PRE,1,mix,41,32,1000000,3000000,2937856807 4142623191 1525534,8814119666 12436952173 1517051
PRE,1,sep,41,32,1000000,3000000,2704687336 4519681304 1321348,8114090780 13564562473 1313418
PRE,1,mix,61,32,1000000,3000000,2563392826 3766976715 1618167,7691216721 11312438636 1599607
PRE,1,sep,61,32,1000000,3000000,2499653238 4319834055 1346684,7498558940 12938879215 1349957
PRE,1,mix,71,32,1000000,3000000,2445965330 3669522736 1638882,7337484960 10992998178 1641741
PRE,1,sep,71,32,1000000,3000000,2389743116 4202875919 1367984,7170517953 12623752790 1365331
PRE,1,mix,100,32,1000000,3000000,1950715598 3165406247 1834707,5853099246 9458394584 1837231
PRE,1,mix,0,32,1000000,3000000,3015965235 4222568917 1520436,9047517636 12661953292 1518727
POST,1,mix,41,32,1000000,3000000,2759820207 3964872825 1535317,8280707248 11895863997 1522698
POST,1,sep,41,32,1000000,3000000,2721643812 4529633031 1303651,8164920040 13576321421 1297578
POST,1,mix,61,32,1000000,3000000,2477524681 3684536419 1595910,7433546934 11071798534 1588788
POST,1,sep,61,32,1000000,3000000,2512869035 4321667185 1327369,7538178112 12956772630 1330890
POST,1,mix,71,32,1000000,3000000,2359620059 3573715760 1633702,7078348150 10737555756 1625412
POST,1,sep,71,32,1000000,3000000,2399961820 4210409865 1361431,7201212079 12636762167 1360695
POST,1,mix,100,32,1000000,3000000,1952671386 3156933960 1832726,5859260455 9450062893 1833603
POST,1,mix,0,32,1000000,3000000,3038676752 4242861426 1511101,9115411097 12728629753 1506461
PRE,1,mix,41,32,1000000,3000000,2938309654 4143399815 1524065,8814871138 12431724869 1514016
PRE,1,sep,41,32,1000000,3000000,2704569491 4517047292 1322694,8113720247 13535259388 1312118
PRE,1,mix,61,32,1000000,3000000,2563561152 3775142026 1616641,7691559427 11328492308 1608790
PRE,1,sep,61,32,1000000,3000000,2499493239 4295660752 1346337,7498137548 12930298961 1340745
PRE,1,mix,71,32,1000000,3000000,2445678312 3655105422 1632182,7336693891 10962326853 1623068
PRE,1,sep,71,32,1000000,3000000,2389561976 4201451935 1370415,7170062054 12590992865 1365528
PRE,1,mix,100,32,1000000,3000000,1950533017 3142591288 1834192,5852547779 9446929347 1817758
PRE,1,mix,0,32,1000000,3000000,3015902182 4218838641 1514046,9047342253 12664410343 1515599
POST,1,mix,41,32,1000000,3000000,2759856502 3978005129 1534906,8280211553 11930280552 1557412
POST,1,sep,41,32,1000000,3000000,2721743384 4529867671 1318523,8164765548 13570521299 1319199
POST,1,mix,61,32,1000000,3000000,2477839148 3688628866 1621795,7433994935 11058254526 1610072
POST,1,sep,61,32,1000000,3000000,2512952149 4322574141 1346374,7538493511 12960210093 1350422
POST,1,mix,71,32,1000000,3000000,2359680820 3566127216 1649345,7079347294 10704595956 1641425
POST,1,sep,71,32,1000000,3000000,2400044001 4203726420 1375147,7200987398 12625490364 1373734
POST,1,mix,100,32,1000000,3000000,1953746253 3146546053 1831984,5859642173 9424866768 1823903
POST,1,mix,0,32,1000000,3000000,3038439989 4243648463 1506835,9115644048 12723699485 1509630
