PRE,1,mix,41,32,1000000,3000000,2938649725 4141030406 1519633,8815793235 12423218738 1502496
PRE,1,sep,41,32,1000000,3000000,2704928654 4504685113 1305710,8114766613 13519737337 1305772
PRE,1,mix,61,32,1000000,3000000,2563350664 3766481597 1615586,7690977478 11309749495 1607941
PRE,1,sep,61,32,1000000,3000000,2499806838 4304215805 1341290,7499031389 12915659417 1331724
PRE,1,mix,71,32,1000000,3000000,2445864148 3662322270 1640298,7337200023 10979761664 1630511
PRE,1,sep,71,32,1000000,3000000,2389858374 4205374831 1358820,7170910686 12588367630 1351807
PRE,1,mix,100,32,1000000,3000000,1951253090 3151498668 1827796,5854131031 9429392899 1821209
PRE,1,mix,0,32,1000000,3000000,3016531552 4223384097 1512688,9049754238 12666706248 1514994
POST,1,mix,41,32,1000000,3000000,2933799291 4138301055 1515672,8801204543 12417650371 1518113
POST,1,sep,41,32,1000000,3000000,2709025915 4523839465 1307955,8127038705 13549023955 1312021
POST,1,mix,61,32,1000000,3000000,2553206375 3764917586 1595746,7660414923 11301856912 1615708
POST,1,sep,61,32,1000000,3000000,2502900444 4312660534 1352031,7508341582 12929306557 1348684
POST,1,mix,71,32,1000000,3000000,2432882709 3643058612 1638535,7298310860 10930627111 1630617
POST,1,sep,71,32,1000000,3000000,2392508418 4195146092 1366885,7178847561 12602737935 1364167
POST,1,mix,100,32,1000000,3000000,1952729689 3155480679 1834741,5859316325 9439623408 1831797
POST,1,mix,0,32,1000000,3000000,3022769898 4227835707 1519839,9068133142 12683169544 1509093
PRE,1,mix,41,32,1000000,3000000,2938699609 4142134772 1504077,8815692719 12428509230 1496826
PRE,1,sep,41,32,1000000,3000000,2705248115 4520073399 1305972,8115714648 13540380828 1298548
PRE,1,mix,61,32,1000000,3000000,2563360900 3765667493 1601611,7691060881 11351299721 1586897
PRE,1,sep,61,32,1000000,3000000,2499921405 4297233197 1339903,7499392228 12934594901 1328127
PRE,1,mix,71,32,1000000,3000000,2445619748 3656157903 1620198,7337012522 10985049215 1617310
PRE,1,sep,71,32,1000000,3000000,2390300680 4201976867 1356511,7170559879 12600831323 1351309
PRE,1,mix,100,32,1000000,3000000,1950502095 3148584721 1809611,5852357606 9436521890 1815314
PRE,1,mix,0,32,1000000,3000000,3017030370 4220338664 1512435,9051208568 12675246146 1501556
POST,1,mix,41,32,1000000,3000000,2933957726 4137446761 1504827,8801567400 12414517906 1511546
POST,1,sep,41,32,1000000,3000000,2709319002 4514419985 1303629,8127937922 13548878958 1302507
POST,1,mix,61,32,1000000,3000000,2553037080 3758956486 1613805,7660157957 11285593535 1604582
POST,1,sep,61,32,1000000,3000000,2503022653 4310056556 1343462,7508729966 12916730595 1333364
POST,1,mix,71,32,1000000,3000000,2432993502 3645771195 1635694,7298926406 10924911504 1638062
POST,1,sep,71,32,1000000,3000000,2392558537 4198143019 1362738,7178960246 12604519005 1366726
POST,1,mix,100,32,1000000,3000000,1952523652 3145629432 1829144,5858663982 9439057220 1831068
POST,1,mix,0,32,1000000,3000000,3023440079 4227036045 1505419,9070409558 12682855862 1506064
PRE,1,mix,41,32,1000000,3000000,2937934092 4144289154 1518404,8813883082 12428273959 1516759
PRE,1,sep,41,32,1000000,3000000,2704526614 4520780330 1315526,8113566074 13521029290 1306271
PRE,1,mix,61,32,1000000,3000000,2562934980 3771874146 1608906,7690727528 11320788109 1607276
PRE,1,sep,61,32,1000000,3000000,2499436366 4305612748 1347474,7497898144 12915345226 1344131
PRE,1,mix,71,32,1000000,3000000,2445290339 3652018608 1631872,7335483329 10976292080 1633541
PRE,1,sep,71,32,1000000,3000000,2389484042 4201170464 1366312,7169765647 12597426041 1366379
PRE,1,mix,100,32,1000000,3000000,1950594468 3140324949 1833807,5852291608 9442359637 1815387
PRE,1,mix,0,32,1000000,3000000,3015884572 4221579728 1505687,9047505704 12667318309 1503467
POST,1,mix,41,32,1000000,3000000,2933487456 4143380067 1508635,8800233152 12412821894 1516426
POST,1,sep,41,32,1000000,3000000,2709022917 4512169116 1308685,8127029647 13544460835 1312509
POST,1,mix,61,32,1000000,3000000,2553436522 3762436278 1607109,7659938157 11301193346 1606450
POST,1,sep,61,32,1000000,3000000,2502801046 4302410778 1345272,7508079663 12920273815 1333147
POST,1,mix,71,32,1000000,3000000,2432740687 3646479938 1631063,7298001907 10926731528 1635773
POST,1,sep,71,32,1000000,3000000,2392379015 4207895341 1354595,7178438212 12601207389 1361901
POST,1,mix,100,32,1000000,3000000,1952978488 3144833448 1819370,5858471152 9437755265 1809757
POST,1,mix,0,32,1000000,3000000,3022977190 4224544919 1517583,9070002076 12681917661 1511286
